Layer name,version,num of weights,num of zero weights,num of unique weights,num of abs weights,num of delta weights,abs unique weights storage(bits) ,delta uniqie weights storage(bits),total unique weights storage(bits),num of weight repetition elements,unique weight repetition storage(bits),total weight storage(bits),total cycle without bubbles,total cycle with bubbles,total cycle overhead,min total idx memory storage,total number of bubbles
conv1_1_W,V1,1728,57,1114,132,982,1188,2946,4134,1247,2494,6628,573,850,48.34205933682374,12748.0,832
conv1_1_W,V2,1728,57,1158,7,1151,63,3453,3516,1284,2568,6084,573,850,48.34205933682374,12748.0,832
conv1_2_W,V1,36864,9111,8443,613,7830,5517,15660,21177,9567,28701,49878,8176,11851,44.9486301369863,190926.0,16974
conv1_2_W,V2,36864,9111,8529,358,8171,3222,16342,19564,9652,28956,48520,8176,11851,44.9486301369863,190926.0,16974
conv2_1_W,V1,73728,24280,13902,1140,12762,10260,25524,35784,16389,49167,84951,14879,20637,38.698837287452115,333191.0,29403
conv2_1_W,V2,73728,24280,14007,698,13309,6282,26618,32900,16493,49479,82379,14879,20637,38.698837287452115,333191.0,29403
conv2_2_W,V1,147456,59943,21682,868,20814,7812,41628,49440,26824,80472,129912,27896,36584,31.144250071694866,569668.0,48200
conv2_2_W,V2,147456,59943,21813,362,21451,3258,42902,46160,26954,80862,127022,27896,36584,31.144250071694866,569668.0,48200
conv3_1_W,V1,294912,140844,33918,1146,32772,10314,65544,75858,44673,134019,209877,50033,63531,26.97819439170148,968888.0,82700
conv3_1_W,V2,294912,140844,34033,529,33504,4761,67008,71769,44788,134364,206133,50033,63531,26.97819439170148,968888.0,82700
conv3_2_W,V1,589824,333315,48632,851,47781,7659,95562,103221,50503,202012,305233,86759,107155,23.50880023974458,1542212.0,135700
conv3_2_W,V2,589824,333315,48720,356,48364,3204,96728,99932,50591,202364,302296,86759,107155,23.50880023974458,1542212.0,135700
conv3_3_W,V1,589824,329138,49687,1025,48662,9225,97324,106549,51686,206744,313293,87511,107664,23.029104912525284,1561288.0,134668
conv3_3_W,V2,589824,329138,49822,454,49368,4086,98736,102822,51821,207284,310106,87511,107664,23.029104912525284,1561288.0,134668
conv4_1_W,V1,1179648,758805,76911,881,76030,7929,152060,159989,79889,319556,479545,149885,178620,19.17136471294659,2483425.0,212113
conv4_1_W,V2,1179648,758805,77008,349,76659,3141,153318,156459,79986,319944,476403,149885,178620,19.17136471294659,2483425.0,212113
conv4_2_W,V1,2359296,1743077,112636,508,112128,4572,224256,228828,115962,463848,692676,235113,274290,16.66305138380268,3609588.0,300136
conv4_2_W,V2,2359296,1743077,112704,175,112529,1575,225058,226633,116030,464120,690753,235113,274290,16.66305138380268,3609588.0,300136
conv4_3_W,V1,2359296,1710187,121777,910,120867,8190,241734,249924,125053,500212,750136,239894,283223,18.061727262874435,3830402.0,322426
conv4_3_W,V2,2359296,1710187,121896,308,121588,2772,243176,245948,125172,500688,746636,239894,283223,18.061727262874435,3830402.0,322426
conv5_1_W,V1,2359296,1595834,134380,1103,133277,9927,266554,276481,139693,558772,835253,270149,321017,18.82960884548897,4443207.0,377643
conv5_1_W,V2,2359296,1595834,134487,386,134101,3474,268202,271676,139800,559200,830876,270149,321017,18.82960884548897,4443207.0,377643
conv5_2_W,V1,2359296,1543361,130980,480,130500,4320,261000,265320,139089,556356,821676,290024,344407,18.751206796678897,4621445.0,405845
conv5_2_W,V2,2359296,1543361,131037,146,130891,1314,261782,263096,139146,556584,819680,290024,344407,18.751206796678897,4621445.0,405845
conv5_3_W,V1,2359296,1594645,120664,232,120432,2088,240864,242952,128817,515268,758220,287349,337972,17.617252887603577,4282740.0,389580
conv5_3_W,V2,2359296,1594645,120713,76,120637,684,241274,241958,128866,515464,757422,287349,337972,17.617252887603577,4282740.0,389580
fc6_W,V1,102760448,102575034,157578,4,157574,36,315148,315184,163704,327408,642592,44895,48099,7.136652188439693,1370786.0,9202
fc6_W,V2,102760448,102575034,157578,0,157578,0,315156,315156,163704,327408,642564,44895,48099,7.136652188439693,1370786.0,9202
fc7_W,V1,16777216,15524334,268179,1,268178,9,536356,536365,320648,961944,1498309,42850,55412,29.316219369894984,8965163.0,893496
fc7_W,V2,16777216,15524334,268179,0,268179,0,536358,536358,320648,961944,1498302,42850,55412,29.316219369894984,8965163.0,893496
fc8_W,V1,4096000,2664315,138160,107,138053,963,276106,277069,138616,693080,970149,38663,58517,51.35142125546388,9239725.0,1685657
fc8_W,V2,4096000,2664315,138161,10,138151,90,276302,276392,138617,693085,969477,38663,58517,51.35142125546388,9239725.0,1685657
